County,2022 Registered Motor Vehicles,2022 Registered Passenger Vehicles,"2022 Registered Passenger Vehicles, Percent",2022 Registered Trucks,"2022 Registered Trucks, Percent",2022 Registered Trailers,"2022 Registered Trailers, Percent",2022 Registered Motorcycles,"2022 Registered Motorcycles, Percent",2022 Registered Buses,"2022 Registered Buses, Percent",2022 Registered Other Vehicles,"2022 Registered Other Vehicles, Percent","2017-2021 Occupied Housing Units, No Vehicles Available, Percent","2017-2021 Occupied Housing Units, One Vehicle Available, Percent","2017-2021 Occupied Housing Units, Two Vehicles Available, Percent","2017-2021 Occupied Housing Units, Three Vehicles Available, Percent","2017-2021 Occupied Housing Units, Four Vehicles Available, Percent","2017-2021 Occupied Housing Units, Five or More Vehicles Available, Percent"
APPLING,"23,918","9,787",40.9%,"7,929",33.2%,"5,812",24.3%,297,1.2%,93,0.4%,0,0.0%,9.4%,30.3%,36.5%,18.1%,3.4%,2.3%
ATKINSON,"9,975","4,008",40.2%,"3,395",34.0%,"2,411",24.2%,110,1.1%,51,0.5%,0,0.0%,5.8%,38.9%,29.6%,13.6%,8.3%,3.8%
BACON,"14,052","5,547",39.5%,"4,628",32.9%,"3,630",25.8%,178,1.3%,69,0.5%,0,0.0%,8.3%,29.3%,31.5%,23.8%,5.4%,1.6%
BAKER,"4,200","1,848",44.0%,"1,306",31.1%,989,23.5%,38,0.9%,19,0.5%,0,0.0%,7.2%,23.0%,46.6%,20.3%,1.4%,1.4%
BALDWIN,"44,042","25,096",57.0%,"10,524",23.9%,"7,568",17.2%,738,1.7%,116,0.3%,0,0.0%,6.9%,29.4%,39.3%,16.9%,5.2%,2.3%
BANKS,"29,247","12,598",43.1%,"8,702",29.8%,"7,034",24.1%,835,2.9%,78,0.3%,0,0.0%,2.7%,25.4%,32.0%,22.8%,11.3%,5.8%
BARROW,"103,804","58,780",56.6%,"26,309",25.3%,"15,623",15.1%,"2,802",2.7%,288,0.3%,2,0.0%,3.5%,25.6%,40.2%,19.4%,7.6%,3.7%
BARTOW,"131,489","71,147",54.1%,"33,751",25.7%,"22,671",17.2%,"3,561",2.7%,359,0.3%,0,0.0%,3.6%,27.2%,40.4%,18.5%,6.6%,3.7%
BEN HILL,"17,605","9,081",51.6%,"4,942",28.1%,"3,257",18.5%,260,1.5%,65,0.4%,0,0.0%,10.1%,44.1%,30.8%,11.5%,2.1%,1.3%
BERRIEN,"22,483","9,677",43.0%,"6,882",30.6%,"5,335",23.7%,507,2.3%,82,0.4%,0,0.0%,5.0%,35.3%,37.4%,17.6%,3.8%,1.0%
BIBB,"134,079","91,184",68.0%,"27,297",20.4%,"13,146",9.8%,"1,919",1.4%,533,0.4%,0,0.0%,11.5%,37.4%,33.5%,12.7%,3.4%,1.4%
BLECKLEY,"15,596","7,222",46.3%,"4,385",28.1%,"3,587",23.0%,333,2.1%,69,0.4%,0,0.0%,3.0%,34.4%,36.0%,15.3%,8.5%,2.9%
BRANTLEY,"22,307","8,989",40.3%,"6,922",31.0%,"5,890",26.4%,426,1.9%,80,0.4%,0,0.0%,4.7%,36.5%,36.7%,15.3%,4.5%,2.4%
BROOKS,"19,516","9,079",46.5%,"5,851",30.0%,"4,228",21.7%,292,1.5%,66,0.3%,0,0.0%,6.3%,31.9%,33.1%,21.7%,3.4%,3.7%
BRYAN,"50,244","28,644",57.0%,"11,762",23.4%,"8,193",16.3%,"1,509",3.0%,136,0.3%,0,0.0%,3.8%,19.2%,47.1%,19.7%,7.6%,2.6%
BULLOCH,"72,740","38,229",52.6%,"20,147",27.7%,"12,618",17.3%,"1,437",2.0%,309,0.4%,0,0.0%,5.2%,33.5%,36.2%,16.7%,6.4%,2.0%
BURKE,"28,774","14,843",51.6%,"8,476",29.5%,"4,756",16.5%,542,1.9%,157,0.5%,0,0.0%,9.7%,31.9%,29.0%,18.6%,7.4%,3.5%
BUTTS,"33,912","16,189",47.7%,"9,270",27.3%,"7,416",21.9%,951,2.8%,85,0.3%,1,0.0%,3.2%,23.3%,39.0%,24.2%,6.5%,3.8%
CALHOUN,"5,793","2,732",47.2%,"1,759",30.4%,"1,184",20.4%,66,1.1%,52,0.9%,0,0.0%,8.8%,29.4%,34.4%,18.6%,4.5%,4.3%
CAMDEN,"55,261","33,308",60.3%,"12,063",21.8%,"7,903",14.3%,"1,824",3.3%,163,0.3%,0,0.0%,5.6%,31.5%,40.3%,17.1%,4.4%,1.1%
CANDLER,"13,491","6,185",45.8%,"4,173",30.9%,"2,836",21.0%,248,1.8%,49,0.4%,0,0.0%,8.8%,37.1%,27.4%,18.9%,4.6%,3.1%
CARROLL,"136,242","75,694",55.6%,"35,187",25.8%,"21,471",15.8%,"3,497",2.6%,393,0.3%,0,0.0%,3.4%,27.9%,38.0%,20.0%,6.7%,3.8%
CATOOSA,"67,495","41,285",61.2%,"16,379",24.3%,"7,749",11.5%,"1,874",2.8%,208,0.3%,0,0.0%,4.9%,26.8%,39.9%,20.6%,5.3%,2.5%
CHARLTON,"11,603","5,265",45.4%,"3,334",28.7%,"2,762",23.8%,198,1.7%,44,0.4%,0,0.0%,7.7%,30.8%,28.2%,20.1%,7.7%,5.5%
CHATHAM,"260,591","183,016",70.2%,"50,129",19.2%,"21,235",8.1%,"4,972",1.9%,"1,239",0.5%,0,0.0%,7.4%,36.2%,37.7%,13.9%,3.4%,1.3%
CHATTAHOOCHEE,"5,704","3,496",61.3%,"1,395",24.5%,590,10.3%,201,3.5%,22,0.4%,0,0.0%,1.0%,34.2%,42.0%,16.2%,2.8%,3.9%
CHATTOOGA,"28,069","13,682",48.7%,"8,384",29.9%,"5,268",18.8%,660,2.4%,75,0.3%,0,0.0%,6.3%,31.3%,33.5%,21.8%,5.0%,2.1%
CHEROKEE,"277,964","181,979",65.5%,"53,922",19.4%,"33,760",12.1%,"7,710",2.8%,593,0.2%,0,0.0%,2.1%,22.9%,46.6%,18.6%,6.9%,2.8%
CLARKE,"90,374","65,342",72.3%,"15,914",17.6%,"7,239",8.0%,"1,325",1.5%,552,0.6%,2,0.0%,7.4%,36.7%,36.3%,12.8%,5.0%,1.7%
CLAY,"4,175","1,785",42.8%,"1,053",25.2%,"1,280",30.7%,40,1.0%,17,0.4%,0,0.0%,8.2%,41.9%,32.7%,10.0%,4.3%,2.9%
CLAYTON,"219,528","163,495",74.5%,"37,501",17.1%,"14,496",6.6%,"3,274",1.5%,761,0.3%,1,0.0%,7.3%,38.4%,34.0%,13.6%,4.7%,2.0%
CLINCH,"8,139","3,359",41.3%,"2,505",30.8%,"2,157",26.5%,82,1.0%,36,0.4%,0,0.0%,10.8%,20.3%,37.8%,22.7%,3.0%,5.4%
COBB,"665,958","501,046",75.2%,"103,690",15.6%,"46,354",7.0%,"12,905",1.9%,"1,963",0.3%,0,0.0%,3.5%,30.8%,42.5%,16.7%,4.8%,1.6%
COFFEE,"46,520","21,494",46.2%,"14,069",30.2%,"10,168",21.9%,625,1.3%,164,0.4%,0,0.0%,7.1%,31.3%,38.9%,15.4%,5.5%,1.8%
COLQUITT,"50,687","25,049",49.4%,"14,401",28.4%,"10,117",20.0%,730,1.4%,390,0.8%,0,0.0%,7.0%,35.3%,35.3%,14.5%,5.0%,2.9%
COLUMBIA,"157,925","101,725",64.4%,"32,883",20.8%,"19,227",12.2%,"3,604",2.3%,485,0.3%,1,0.0%,2.6%,27.5%,41.6%,17.2%,7.2%,3.9%
COOK,"20,001","9,559",47.8%,"5,719",28.6%,"4,342",21.7%,286,1.4%,95,0.5%,0,0.0%,6.7%,31.9%,32.5%,19.1%,5.7%,4.1%
COWETA,"156,674","94,738",60.5%,"33,608",21.5%,"23,358",14.9%,"4,449",2.8%,521,0.3%,0,0.0%,3.2%,25.6%,40.1%,20.1%,7.1%,3.9%
CRAWFORD,"16,806","7,431",44.2%,"4,760",28.3%,"4,138",24.6%,411,2.4%,66,0.4%,0,0.0%,6.6%,21.7%,39.6%,18.3%,10.7%,3.0%
CRISP,"21,796","11,219",51.5%,"6,088",27.9%,"4,099",18.8%,284,1.3%,106,0.5%,0,0.0%,12.9%,30.2%,35.8%,14.3%,4.4%,2.4%
DADE,"17,172","9,117",53.1%,"5,060",29.5%,"2,502",14.6%,439,2.6%,54,0.3%,0,0.0%,4.8%,25.9%,39.4%,21.6%,6.1%,2.3%
DAWSON,"40,374","21,637",53.6%,"10,084",25.0%,"7,217",17.9%,"1,335",3.3%,101,0.3%,0,0.0%,2.4%,23.2%,40.8%,20.1%,9.3%,4.2%
DECATUR,"32,399","15,962",49.3%,"9,018",27.8%,"6,891",21.3%,409,1.3%,119,0.4%,0,0.0%,7.0%,34.7%,36.4%,13.6%,6.3%,2.1%
DEKALB,"532,757","437,030",82.0%,"62,974",11.8%,"23,683",4.4%,"7,122",1.3%,"1,946",0.4%,2,0.0%,7.9%,39.9%,36.9%,11.0%,3.1%,1.2%
